API,Series,Date,Value
INTL.57-1-WORL-TBPD.M,54389.0,1973-02-01,54930.0
INTL.57-1-MEX-TBPD.M,453.0,1973-02-01,458.0
INTL.57-1-USA-TBPD.M,9175.935,1973-02-01,9395.214
INTL.57-1-WORL-TBPD.M,54389.0,1973-03-01,54995.0
INTL.57-1-MEX-TBPD.M,453.0,1973-03-01,458.0
INTL.57-1-USA-TBPD.M,9175.935,1973-03-01,9271.935
INTL.57-1-WORL-TBPD.M,54389.0,1973-04-01,55049.0
INTL.57-1-MEX-TBPD.M,453.0,1973-04-01,463.0
INTL.57-1-USA-TBPD.M,9175.935,1973-04-01,9291.9
INTL.57-1-WORL-TBPD.M,54389.0,1973-05-01,56323.0
INTL.57-1-MEX-TBPD.M,453.0,1973-05-01,468.0
INTL.57-1-USA-TBPD.M,9175.935,1973-05-01,9262.387
INTL.57-1-WORL-TBPD.M,54389.0,1973-06-01,55711.0
INTL.57-1-MEX-TBPD.M,453.0,1973-06-01,468.0
INTL.57-1-USA-TBPD.M,9175.935,1973-06-01,9213.933
INTL.57-1-WORL-TBPD.M,54389.0,1973-07-01,57420.0
INTL.57-1-MEX-TBPD.M,453.0,1973-07-01,463.0
INTL.57-1-USA-TBPD.M,9175.935,1973-07-01,9217.129
INTL.57-1-WORL-TBPD.M,54389.0,1973-08-01,56750.0
INTL.57-1-MEX-TBPD.M,453.0,1973-08-01,463.0
INTL.57-1-USA-TBPD.M,9175.935,1973-08-01,9168.548
INTL.57-1-WORL-TBPD.M,54389.0,1973-09-01,57744.0
INTL.57-1-MEX-TBPD.M,453.0,1973-09-01,463.0
INTL.57-1-USA-TBPD.M,9175.935,1973-09-01,9065.3
INTL.57-1-WORL-TBPD.M,54389.0,1973-10-01,56614.0
INTL.57-1-MEX-TBPD.M,453.0,1973-10-01,473.0
INTL.57-1-USA-TBPD.M,9175.935,1973-10-01,9223.871
INTL.57-1-WORL-TBPD.M,54389.0,1973-11-01,53866.0
INTL.57-1-MEX-TBPD.M,453.0,1973-11-01,473.0
INTL.57-1-USA-TBPD.M,9175.935,1973-11-01,9160.967
INTL.57-1-WORL-TBPD.M,54389.0,1973-12-01,54277.0
INTL.57-1-MEX-TBPD.M,453.0,1973-12-01,473.0
INTL.57-1-USA-TBPD.M,9175.935,1973-12-01,9063.226
INTL.57-1-WORL-TBPD.M,54389.0,1974-01-01,55474.0
INTL.57-1-MEX-TBPD.M,453.0,1974-01-01,497.0
INTL.57-1-USA-TBPD.M,9175.935,1974-01-01,8933.871
INTL.57-1-WORL-TBPD.M,54389.0,1974-02-01,55943.0
INTL.57-1-MEX-TBPD.M,453.0,1974-02-01,497.0
INTL.57-1-USA-TBPD.M,9175.935,1974-02-01,9142.214
