typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","0","W00","World","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","831794.92","false","5","u","1276791","false","831794.92","false","0","false","2088444.414",,"2088444.414","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","20","AND","Andorra","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23","false","5","u","5","false","23","false","0","false","23.981",,"23.981","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","36","AUS","Australia","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120","false","5","u","12","false","120","false","0","false","38399.975",,"38399.975","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20","false","5","u","2","false","20","false","0","false","948.676",,"948.676","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","92","VGB","Br. Virgin Isds","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","5","u","2","false","5","false","0","false","23.981",,"23.981","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","708.77","false","5","u","111","false","708.77","false","0","false","2310.641",,"2310.641","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","156","CHN","China","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","798557.2","false","5","u","1252534","false","798557.2","false","0","false","1567697.337",,"1567697.337","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","188","CRI","Costa Rica","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1865","false","5","u","700","false","1865","false","0","false","35948.62",,"35948.62","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21.91","false","5","u","81","false","21.91","false","0","false","1003.664",,"1003.664","0","false","true",
"C","M","20241201","2024","12","202412","328","GUY","Guyana","M","Import","562","NER","Niger","0","W00","World","H5","HS","true","9405","Lamps, light fittings; including searchlights, spotlights and parts thereof, n.e.c.; illuminated signs, name-plates and the like, having permanently fixed light source and parts thereof n.e.c. or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","5","u","30","false","10","false","0","false","3951.647",,"3951.647","0","false","true",
